customer_id,name,address,phone,email
C0001,Mason Jones,"6568 Oak St, Akron, OH 44106",(365) 259-9313,mason.jones@example.com
C0002,Elijah Johnson,"1508 Birch St, Lakewood, OH 44104",(239) 764-7955,elijah.johnson@example.com
C0003,Liam Jackson,"2128 Cedar St, Brunswick, OH 44110",(365) 606-1812,liam.jackson@example.com
C0004,Isabella Johnson,"9220 Pine St, Medina, OH 44103",(354) 320-6054,isabella.johnson@example.com
C0005,Evelyn Garcia,"1788 Spruce St, Brunswick, OH 44106",(240) 760-2028,evelyn.garcia@example.com
C0006,Henry Johnson,"3474 Walnut St, Lorain, OH 44106",(335) 799-8424,henry.johnson@example.com
C0007,Charlotte Martinez,"4170 Pine St, Mentor, OH 44110",(292) 737-9111,charlotte.martinez@example.com
C0008,Mason Anderson,"4817 Spruce St, Akron, OH 44109",(323) 368-6604,mason.anderson@example.com
C0009,Ava Thomas,"7009 Oak St, Akron, OH 44106",(393) 558-9137,ava.thomas@example.com
C0010,Henry Anderson,"1226 Maple St, Medina, OH 44102",(231) 948-6072,henry.anderson@example.com
C0011,Henry Anderson,"4762 Birch St, Strongsville, OH 44108",(306) 372-2918,henry.anderson@example.com
C0012,Harper Johnson,"3675 Elm St, Parma, OH 44107",(316) 708-2320,harper.johnson@example.com
C0013,Sophia Anderson,"6680 Chestnut St, Medina, OH 44107",(437) 763-5561,sophia.anderson@example.com
C0014,Amelia Lopez,"6333 Cedar St, Parma, OH 44103",(254) 437-4822,amelia.lopez@example.com
C0015,Olivia Thomas,"9752 Pine St, Medina, OH 44101",(253) 629-9758,olivia.thomas@example.com
C0016,Charlotte Martin,"9378 Willow St, Parma, OH 44108",(438) 998-7428,charlotte.martin@example.com
C0017,Ethan Gonzalez,"6557 Maple St, Euclid, OH 44101",(264) 268-4420,ethan.gonzalez@example.com
C0018,James Garcia,"1901 Willow St, Brunswick, OH 44102",(216) 780-3478,james.garcia@example.com
C0019,Evelyn Brown,"6057 Spruce St, Cleveland, OH 44104",(373) 585-3433,evelyn.brown@example.com
C0020,Lucas Lopez,"9967 Willow St, Euclid, OH 44102",(433) 699-8634,lucas.lopez@example.com
C0021,Harper Thomas,"5209 Maple St, Parma, OH 44106",(405) 471-8841,harper.thomas@example.com
C0022,Sophia Taylor,"478 Cedar St, Lorain, OH 44103",(392) 756-1443,sophia.taylor@example.com
C0023,Benjamin Martinez,"1591 Elm St, Lorain, OH 44103",(307) 990-4650,benjamin.martinez@example.com
C0024,Evelyn Moore,"8336 Willow St, Mentor, OH 44104",(425) 610-4714,evelyn.moore@example.com
C0025,Elijah Taylor,"8173 Willow St, Cleveland, OH 44105",(336) 465-4172,elijah.taylor@example.com
